name_with_owner,stargazer_count,created_at,repository_age_days,merged_pull_requests,release_count,pushed_at,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
kovidgoyal/kitty,34417,2016-10-16T14:48:28Z,3590,1489,143,2026-08-16T05:11:50Z,0,Python,6989,6981,0.9988553441121762
nothings/stb,34409,2014-05-25T16:51:23Z,4465,294,0,2026-08-02T06:42:09Z,14,C,987,738,0.7477203647416414
SeleniumHQ/selenium,34382,2013-01-14T21:40:56Z,4961,4152,120,2026-08-16T00:14:44Z,0,Java,11230,11132,0.991273374888691
CMU-Perceptual-Computing-Lab/openpose,34366,2017-04-24T14:06:31Z,3400,174,15,2024-08-03T01:59:11Z,743,C++,2007,1667,0.8305929247633284
derailed/k9s,34364,2019-01-25T18:46:02Z,2759,1060,258,2026-08-14T16:24:15Z,2,Go,2374,2327,0.9802021903959562
raysan5/raylib,34338,2013-10-24T15:46:04Z,4678,2655,25,2026-08-13T22:46:53Z,3,C,2227,2213,0.9937135159407274
jaredpalmer/formik,34329,2017-06-14T19:50:59Z,3349,836,200,2025-11-10T17:02:06Z,279,TypeScript,2270,1567,0.6903083700440529
xitu/gold-miner,34329,2015-11-04T03:29:13Z,3938,3563,0,2024-04-17T09:44:37Z,851,Não informado,5604,5590,0.997501784439686
huggingface/diffusers,34319,2022-05-30T16:04:02Z,1538,6014,92,2026-08-15T19:46:00Z,1,Python,5525,4722,0.8546606334841629
anthropics/financial-services,34292,2026-02-23T19:24:50Z,173,40,0,2026-08-04T14:41:29Z,12,Python,88,9,0.10227272727272728
python-poetry/poetry,34290,2018-02-28T15:23:47Z,3090,2542,151,2026-08-10T21:37:56Z,6,Python,6359,5871,0.9232583739581696
nodejs/node-v0.x-archive,34288,2009-05-27T16:29:46Z,6289,218,0,2024-08-15T20:32:32Z,731,Não informado,6379,6379,1.0
TheAlgorithms/JavaScript,34217,2017-07-13T06:12:33Z,3320,798,0,2026-03-07T14:45:13Z,162,JavaScript,224,203,0.90625
